8 0.65 1 1 1 0.64 0.07 0.13 0.65 1 1 1 0.97 0.69 0.69 1 0.68 0.78 1 0.65 1 0.9 0.86 1 0.86 1 1 1 1 1 0.97 0.84 1 1 1 1 1 1 0.98 1 1 1 0.86 1 0.88 1 1 1 0.91 1 1 0.92 0.96 1 0.58 1 0.9 1 0.08 0.08 1 1 1 1 1 1 1 1 1 1 0.01 1 1 0.83 0.62 0.85 1 0.97 0.9 1 0.93 0.85 1 1 1 0.49 1 1 0.69 1 1 0.88 0.23 1 1 1 1 0.6 0.74 1 1 1 1 0.72 0.94 1 0.49 1 1 1 1 0.48 0.72 1 0.94 0.98 1 0.73 0.73 1 1 1 0.55 1 1 1 0.03 1 0.02 1 1 1 0.94 0.91 1 1 1 1 1 1 1 1 1 1 1 1 0.46 1 1 0.89 0.89 1 1 1 1 1 0.94 1 1 1 1 1 1 1 1 1 1 1 0.89 0.9 0.94 1 0.91 0.91 1 0.91 0.02 0.89 1 1 0.9 1 1 1 0.92 1 1 0.87 1 1 1 1 1 1 1 0.92 1 0.56 1 1 1 1 0.79 0.6 1 1 1 1 0.89 0.91 1 0.9 1 1 1 1 1 1 0.93 1 1 1 0.83 0.96 0.96 1 0.46 1 0.95 0.21 0.93 0.86 1 1 1 1 1 1 0.9 1 1 1 1 1 1 1 1 1 1 1 8 
8 0.14 0.6 0.6 1 0.59 1 1 1 1 1 1 0.69 0.85 1 1 0.68 0.95 1 1 1 1 1 0.08 0.93 0.95 0.04 0.57 1 0.72 1 1 0.55 1 1 1 0 1 1 0.93 1 0.83 0.75 1 1 1 1 1 1 1 0.66 0.92 1 0.99 0.76 1 1 1 0.89 0.87 1 1 1 1 0.86 0.96 0.85 1 1 0.83 1 1 1 0.87 1 1 1 1 0.5 0.82 0.84 1 0.7 1 0.96 1 0.8 1 0.86 1 0.96 1 0.84 1 0.93 0.85 1 1 0.94 1 1 1 1 1 1 1 1 1 1 1 0.57 1 0.77 1 1 1 0.12 1 1 0.93 1 0.8 1 1 1 0.46 1 1 0.85 1 1 1 0.94 1 1 0.8 0.02 1 1 1 1 0.84 1 1 1 1 1 1 1 1 1 1 1 0.87 1 1 1 1 1 1 1 1 1 1 0.45 1 1 1 1 0.84 1 0.94 1 0.43 0.84 1 0.86 1 0.89 1 1 0.42 1 0.92 0.41 1 1 1 0.91 1 0.11 1 0.95 0.07 1 0.79 0.03 1 1 1 1 1 1 1 0.6 1 1 1 1 1 1 0.9 1 0.82 1 1 1 1 1 1 1 1 1 1 0.94 1 0.83 1 1 0.93 1 0.83 1 1 1 1 1 1 1 1 1 1 0.92 1 1 1 1 0.73 1 0.95 8 
8 0.65 1 1 0.09 0.59 1 1 1 0.9 0.97 0.64 0.56 1 0.85 1 0.73 0.75 1 1 0.84 1 1 1 1 0.73 0.94 0.92 0.84 1 0.9 0.95 0.81 0.04 0.95 1 0.94 0.96 1 0.95 1 1 0.88 1 0.88 1 1 0.85 1 1 1 0.23 1 0.99 1 1 1 1 0.97 1 0.87 0.76 1 1 0.97 1 1 1 1 1 1 1 1 0.87 1 0.83 0.9 1 1 0.85 1 1 0.92 1 1 0.95 1 0.04 1 0.81 1 0.68 1 0.88 1 0.8 0.84 0.36 1 1 0.97 0.97 1 0.96 0.96 1 0.96 0.83 1 0.57 0.84 1 0.82 0.82 0.94 0.85 1 1 0.81 0.64 1 1 0.55 1 0.88 1 0.88 1 1 1 1 1 0.12 1 1 1 1 1 1 1 1 1 0.92 1 1 1 1 1 1 1 1 1 1 1 1 1 0.9 1 1 1 1 1 1 1 0.97 1 0.97 0.97 1 0.23 0.96 1 0 0.89 1 1 0.9 1 1 1 1 0.82 1 1 1 0.34 1 1 0.91 0.9 1 0.63 0.9 0.92 0.52 0.63 0.79 0.56 1 0.52 0.52 1 0.77 0.53 1 1 1 1 1 1 1 0.94 0.82 1 1 1 1 1 1 1 1 1 1 0.93 0.46 0.83 1 0.83 1 0.82 0.94 1 0.82 0.81 1 1 1 1 1 1 1 1 1 1 1 1 0.77 1 1 1 8 
8 1 1 1 1 0.63 0.98 1 0.97 1 1 1 0.69 1 0.21 1 0.73 0.03 1 0.88 1 0.1 0.97 0.06 0.97 0.29 0.28 1 0.84 0.9 1 0.95 1 0.97 1 0.97 0.27 1 1 1 1 1 0.88 1 0.88 1 1 0.93 1 1 0.91 0.9 1 1 1 1 1 1 0.89 1 1 1 1 0.83 1 1 1 0.96 1 0.92 0.93 0.95 1 0.88 1 0.9 1 1 1 0.1 1 1 0.48 1 1 1 1 0.01 0.9 1 1 1 1 0.95 1 0.95 0.93 1 0.94 1 1 1 0.71 0.97 1 1 1 0.96 0.95 0.95 0.98 0 1 1 0.89 1 1 1 1 1 1 0.92 1 0.77 1 0.89 0.03 1 0.91 1 1 0.13 1 1 1 0.87 0.88 1 0.9 1 0.91 1 1 1 1 1 0.12 1 1 1 1 1 1 1 1 1 1 0.91 1 1 1 1 0.45 1 1 0.61 1 1 1 1 1 0.89 0.82 1 0.85 0.58 1 1 0.58 1 0.9 1 0.56 1 1 1 1 1 0.55 0.9 1 0.95 0.96 0.95 1 1 1 1 1 1 1 1 0.78 1 1 1 0.6 1 0.21 1 1 0.94 1 1 1 1 1 1 0.92 1 0.83 1 1 0.46 0.71 1 0.31 0.93 1 1 1 0.83 1 1 1 1 1 1 1 1 1 1 0.93 1 0.91 1 1 0.91 1 0.9 8 
8 0.65 1 0.79 0.63 0.79 1 1 0.82 1 0.9 1 0.57 0.29 1 0.8 0.68 1 0.84 0.66 1 0.05 1 0.89 1 1 0.22 0.91 1 0.23 0.88 0.06 1 1 1 1 1 0.77 0.77 0 0.77 1 0.78 0.05 0.87 0.08 1 1 0.34 1 0.98 0.92 0.85 1 1 0.96 0.89 1 1 0.86 0.33 1 1 1 1 0.97 1 1 1 0.92 1 0.91 1 0.74 0.79 0.86 0.92 0.98 1 0.11 1 1 1 0.84 1 0.9 0.8 0.95 1 1 1 1 0.66 0.78 0.61 1 1 1 0.44 1 1 1 0.83 1 0.93 1 1 1 0.72 1 0.83 1 1 1 1 1 1 0.07 0.06 0.04 1 0.89 0.97 0.97 1 1 0.02 1 0.91 1 1 0.06 1 0.9 1 1 1 0.9 1 1 0.92 1 1 1 0.88 0.14 1 0.9 1 1 1 1 1 1 1 1 0.93 1 1 1 1 1 0.36 1 1 1 1 1 1 1 1 0.84 1 1 1 0.14 1 1 1 0.78 1 1 1 0.87 1 0.86 1 1 0.55 1 1 1 1 1 1 1 1 1 1 0.88 0.77 1 0.77 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0.84 1 1 1 1 0.84 1 1 1 1 1 1 1 1 1 1 0.74 1 1 1 0.91 1 1 1 1 1 0.76 0.91 1 1 1 1 8 
8 1 1 1 1 0.86 0.21 1 0.96 1 0.95 1 0.69 1 0.96 0.68 0.96 0.92 1 0.88 0.93 1 0.72 0.37 0.94 1 0.04 0.22 1 0.98 0.23 1 0.97 0.91 0.22 1 0.85 1 1 1 0.77 1 0.89 1 1 1 1 0.93 1 0.92 0.82 0.3 0.9 0.12 0.43 1 1 1 0.67 1 0.58 1 1 0.87 0.68 1 0.97 1 1 0.84 1 1 0.95 1 1 0.86 0.92 1 0.84 0.5 1 1 1 1 1 0.9 0.71 1 0.71 1 1 1 0.87 1 0.8 0.86 0.17 0.88 0.88 1 1 1 0.76 0.93 1 1 1 1 0.92 0.95 0.84 1 1 1 0.89 1 1 1 1 0.13 0.89 1 0.76 1 1 1 1 0.89 0.86 1 1 0.07 0.93 1 1 1 1 0.9 1 0.91 0.02 1 1 1 1 1 0.9 1 1 1 1 1 1 0.87 1 0.93 1 1 1 1 1 0.89 1 0.8 1 1 1 1 1 1 0.95 0.94 1 0.96 0.27 1 0.93 0.91 0.91 0.91 1 0.08 0.86 1 1 1 0.65 0.54 0.34 1 1 1 0.96 1 1 0.65 1 1 1 0.77 0.88 1 1 1 1 1 0.21 1 1 1 1 1 1 1 0.92 0.91 0.92 0.92 0.93 1 0.93 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0.88 1 1 1 1 1 1 0.93 1 1 0.9 1 1 1 0.94 8 
8 0.74 0.63 1 0.73 0.59 1 0.91 0.8 0.22 0.91 0.8 0.09 1 1 1 1 0.8 1 0.66 1 1 1 0.02 0.08 1 1 0.92 0.98 1 1 1 0.51 1 1 0.4 1 1 0.9 1 0.9 0.9 0.93 0.92 1 0.94 1 1 1 1 0.34 1 1 1 0.16 0.74 1 0.86 0.96 1 0.33 1 0.98 1 0.98 1 1 0.92 1 1 1 1 1 0.95 0.82 0.1 0.63 1 1 0.86 0.19 1 0.91 0.28 1 0.86 1 1 0.96 0.98 1 0.53 1 0.45 0.85 0.86 0.77 1 1 1 1 0.77 0.97 1 1 1 1 1 0.47 1 1 1 0.22 1 0.94 0.89 1 1 1 0.9 1 1 1 1 1 0.97 1 1 1 1 1 1 1 1 1 1 1 1 0.78 1 0.95 0.95 1 1 1 1 0.45 1 1 1 1 1 1 0.88 1 1 0.08 1 1 1 1 1 0.46 1 1 1 1 0.18 1 1 0.04 0.93 1 1 0.96 0.26 1 1 1 1 1 1 0.07 0.9 1 0.77 0.97 0.91 1 0.91 1 1 1 1 1 1 1 0.61 0.94 0.51 1 1 0.76 1 1 1 1 1 1 0.59 1 0.93 1 1 1 0.92 1 1 1 1 0.84 1 1 0.83 1 1 1 1 1 1 1 1 1 1 0.94 1 1 0.75 1 1 0.91 1 0.96 0.95 1 1 1 0.95 1 1 8 
8 0.8 0.13 1 0.66 1 1 1 0.95 0.99 0.95 1 0.9 0.8 0.79 1 0.89 0.76 1 0.79 1 1 1 1 0.92 1 0.94 0.96 0.92 0.99 0.97 1 0.2 1 1 1 0.78 1 0.9 1 0.95 0.96 0.9 1 0.91 1 0.91 0.64 1 0.77 1 0.32 0.15 1 0.59 0.95 1 1 0.67 0.03 1 1 1 1 1 0.88 1 1 1 0.88 0.89 0.89 1 0.81 1 0.88 1 1 0.48 0.86 1 1 1 1 1 0.97 0.64 0.79 0.68 0.53 1 1 0.79 0.04 0.92 1 0.14 0.35 1 1 1 0.97 1 0.98 1 1 1 1 0.73 1 1 1 0.78 1 0.77 0.93 1 1 0.9 1 1 0.91 0.13 0.12 0 1 1 1 1 1 0.93 0.85 1 1 1 1 1 1 0.81 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0.93 1 1 1 1 1 0.89 1 1 1 0.81 1 1 1 1 1 0.7 0.85 0.93 1 1 0.85 1 1 1 0.84 1 0.86 1 1 1 1 0.97 0.89 1 1 1 0.4 0.02 0.97 1 1 1 1 0.09 1 0.93 0.51 0.8 0.76 0.81 1 0.81 1 0.81 1 1 1 1 1 1 1 0.85 1 0.91 1 1 1 0.92 0.92 0.92 1 1 1 1 1 1 1 1 1 0.85 1 1 1 1 0.89 1 1 0.89 1 1 1 0.9 1 1 1 1 8 
8 0.05 1 0.97 0.05 0.81 1 0.77 0.98 0.97 0.91 0.82 1 1 1 0.69 0.94 1 1 1 0.19 0.78 1 0.15 1 1 0.98 0.93 1 1 1 1 0.5 1 0.14 0.4 0.9 1 1 1 0.95 1 0.96 0.93 0.68 0.93 0.67 0.86 0.77 0.9 1 0.93 1 1 0.59 0.91 0.83 1 1 0.84 1 0.97 1 0.85 1 1 1 1 1 0.91 0.96 1 1 1 1 1 1 1 1 1 1 0.85 1 1 1 1 0.97 0.94 1 1 1 1 1 1 0.92 1 1 0.69 0.01 1 0.59 1 0.55 0.55 1 0.43 1 1 1 1 1 0.15 0.95 1 0.92 0.43 0.93 0.89 0.9 1 1 0.14 0.11 0.86 1 1 1 1 1 0.92 0.89 1 1 0.9 0.9 1 0.9 1 1 1 0.93 1 0.87 1 1 0.22 1 0.93 1 1 1 1 1 1 1 0.45 0.72 1 0.89 1 0.92 1 1 0.63 0.82 1 1 1 1 0.84 1 1 1 1 1 0.85 0.95 1 1 1 1 1 1 0.73 1 0.89 1 0.81 1 0.88 0.4 1 1 0.9 1 0.68 0.1 1 1 0.57 0.93 0.75 1 0.89 1 1 1 0.59 1 0.93 1 1 1 1 1 1 1 1 1 1 1 0.84 1 0.85 1 1 1 1 1 1 1 1 1 1 0.93 1 1 0.98 1 0.8 1 0.97 0.96 1 1 1 0.88 1 1 0.94 8 
8 0.81 0.9 0.71 0.59 0.87 0.32 0.77 1 0.87 1 1 1 1 1 0.91 0.7 0.79 1 1 0.72 1 0.94 1 1 0.71 0.15 1 0.85 1 1 0.94 1 1 0.95 1 0.78 0.92 1 0.76 0.86 0.92 0.9 0.93 0.89 1 0.89 1 0.87 1 0.87 0.4 1 1 0.74 0.35 1 0.35 0.96 1 0.85 1 1 1 0.36 1 1 0.87 0.36 0.79 1 0.91 1 1 0.75 1 1 1 1 1 1 1 1 0.16 1 1 0.83 0.89 0.83 0.91 1 1 1 1 1 0.92 1 1 0.92 1 1 1 0.85 1 1 1 0.43 1 0.47 1 1 0.18 0.95 1 0.92 1 0.43 1 1 1 0.15 0.76 0.65 1 1 0.09 0.75 1 1 0.84 1 1 1 1 1 0.14 1 1 1 1 1 0.91 1 1 1 1 0.45 1 1 1 1 1 1 1 1 1 0.72 1 1 1 1 1 1 1 1 0.81 1 1 1 0 1 0.48 0.48 1 1 1 1 1 0.5 1 0.92 1 0.73 0.07 1 1 0.81 0.53 0.53 1 1 1 1 1 1 0.78 1 1 1 1 0.73 1 1 1 1 1 0.59 1 0.93 0.36 0.36 1 1 1 0.36 1 1 1 1 1 1 1 1 0.85 1 1 1 1 1 1 1 1 1 1 1 1 1 0.07 0.05 1 1 1 1 1 1 0.88 1 0.76 1 1 8 
8 0.97 0.76 0.96 0.71 1 0.06 0.97 0.84 0.87 0.87 1 0.58 0.39 1 0.88 0.89 0.92 1 1 0.13 1 0.92 0.94 0.9 1 1 0.14 0.94 0.91 0.06 0.96 1 1 0 0.06 1 0.93 0.93 1 1 1 0.9 1 1 1 1 0.87 1 1 1 0.2 0.86 1 0.26 0.88 1 0.91 0.96 0.98 0.98 0.91 0.91 0.92 1 1 1 0.91 1 1 0.2 1 1 1 0.96 0.76 0.96 0.96 0.94 1 0.95 1 0.57 0.64 0.18 0.64 1 0.94 1 1 1 1 0.96 1 0.96 0.96 0.18 1 0.95 1 1 1 1 1 1 1 1 0.88 1 1 1 0.85 1 1 1 1 1 1 0.9 0.17 1 1 1 0.79 1 0.07 1 0.89 1 1 1 1 0.89 1 1 0.82 0.16 1 1 1 0.09 1 0.86 1 1 1 1 1 1 1 1 1 1 1 1 1 0.13 1 1 1 1 1 1 1 1 0.96 1 0.28 1 0.77 0.18 1 1 0.86 1 1 1 0.85 0.94 0.94 0.94 1 1 0.92 1 1 0.91 0.94 0.94 0.72 1 1 0.98 0.67 0.78 0.66 1 0.7 0.71 0.73 1 0.22 1 1 1 0.93 1 0.93 1 0.9 0.9 0.91 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0.92 0.92 1 0.76 1 0.93 8 
8 0.75 1 1 0.84 0.87 1 1 1 1 1 1 0.58 1 1 1 0.94 1 1 0.67 1 1 1 1 1 1 1 1 0.74 0.92 0.39 0.94 0.16 0.15 0.94 0.11 0.98 0.84 0.89 1 1 0.82 0.94 1 0 0.94 1 1 1 1 1 0.62 0.32 1 0.94 0.06 1 1 0.68 0.85 0.46 1 1 1 1 1 0.9 0.6 0.4 1 0.9 0.85 0.03 1 0.93 0.87 0.94 0.17 1 0.89 1 0 0.9 0.57 0.37 0.19 0.82 1 0.46 0.27 1 0.91 0.53 1 1 0.92 0.92 0.92 1 1 0.98 0.78 1 0.92 1 1 0.37 1 0.5 1 0.73 1 0.94 1 1 1 0.14 1 0.9 0.75 0.9 1 1 0.91 0.91 1 0.91 0.96 0.95 1 1 0.32 0.77 0.94 0.87 1 1 0.18 0.15 0.88 0.88 0.25 1 0.91 0.39 1 1 0.92 0.92 0.92 0.93 1 0.45 0.88 1 1 1 1 1 1 1 1 1 1 0.96 1 0.64 1 1 0.64 0.55 0.92 0.11 1 0.96 1 1 0.66 0.8 1 1 1 0.91 0.68 0.98 0.67 0.69 0 0.34 1 1 1 1 1 1 1 0.91 1 1 0.65 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0.86 1 0.02 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0.86 0.87 1 1 0.91 1 1 1 1 1 1 1 8 
8 0.97 1 1 0.46 1 0.93 0.83 0.83 1 1 0.96 1 0.96 1 1 1 0.93 0.68 0.86 0.31 1 1 0.87 1 1 0.98 1 0.96 0.98 1 1 0.95 1 1 0.89 0.9 0.84 1 0.97 0.92 0.91 0.94 0.49 1 0.92 0.68 1 1 1 1 1 1 0.94 1 1 0.87 1 0.95 1 1 0.46 1 0.85 0.69 1 0.1 1 0.17 0.16 0.06 0.95 1 1 0.93 0.93 0.94 1 1 1 1 0.9 1 1 0.88 1 1 1 1 0.04 1 1 0.92 1 0.91 0.87 1 1 1 1 0.98 0.88 0.94 1 0.93 1 1 1 0.9 1 0.63 0.8 1 1 1 1 0.85 0.83 0.2 1 1 0.9 1 0.14 0.1 0.95 1 1 1 1 1 1 1 1 1 1 1 1 1 0.13 0.68 0.95 0.95 1 1 0.29 0.45 0.94 0.2 1 1 1 0.13 1 0.89 0.85 1 1 0.9 0.49 0.93 0.84 1 0.82 0.13 1 0.83 0.83 0.37 1 1 0.83 0.82 0.96 0.82 1 0.95 0.81 1 0.87 0.88 1 1 0.8 0.98 0.87 0.8 0.68 0.79 0.79 1 0.76 1 0.63 0.93 0.19 1 1 1 1 1 1 1 0.58 1 1 1 0.37 1 1 1 0.24 1 1 1 0.86 1 0.35 1 1 1 0.85 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0.88 1 0.91 1 1 1 0.96 1 1 1 8 
8 1 0.84 0.82 0.74 0.65 1 0.57 1 0.2 1 1 1 1 1 1 1 1 0.81 0.67 1 1 1 0.91 1 0.99 0.97 1 0.39 1 0.96 1 0.95 0.94 0.94 1 0.97 1 0.89 0.97 0.78 0.97 0.97 1 1 1 1 1 1 0.79 1 0.78 0.87 1 0.88 1 0.88 0.61 0.95 0.99 0.98 0.6 1 1 0.49 1 1 0.8 0.4 0.59 1 1 0.47 0.29 0.92 0.88 1 0.15 1 0.87 1 1 0.37 0.95 1 0.99 1 1 0.67 0.86 1 1 1 1 1 1 1 0.78 0.78 0.77 1 0.95 0.88 0.92 1 0.61 1 1 1 0.09 0.22 0.36 1 0.74 0.92 1 0.92 0.75 1 1 0.9 1 1 1 1 1 1 1 1 0.88 1 1 1 1 1 1 0.44 1 1 1 1 1 1 1 1 1 1 1 1 1 0.46 1 1 0.12 1 1 0.17 1 1 1 0.21 1 1 0.14 1 1 1 1 1 0.92 1 1 0.54 1 0.38 0.95 0.38 1 0.02 1 1 0.39 0.97 0.96 1 0.39 0.88 0.96 0.47 1 0.76 1 1 0.63 1 0.2 1 1 0.91 0.65 0.95 0.49 0.92 0.92 0.92 1 1 0.37 1 1 1 1 1 1 0.91 1 1 1 1 1 0.89 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0.9 1 1 1 1 1 1 1 1 1 1 1 0.92 8 
8 0.89 0.8 1 1 0.94 0.23 1 0.84 0.65 0.88 1 1 0.65 0.82 0.82 1 1 0.26 0.92 1 1 0.83 0.85 1 1 0.92 0.89 0.85 1 1 1 0.85 1 0.86 0.41 0.99 1 0.86 1 1 1 1 1 0.88 0.93 1 1 1 0.94 0.94 0.94 0.78 1 0.6 1 1 0.95 0.68 1 0.99 1 1 0.96 1 0.86 0.89 1 0.42 0.09 1 0.08 1 1 0.04 1 1 1 1 1 1 1 0.77 0.8 0.94 0.46 1 0.93 0.87 0.06 1 1 0.91 1 1 0.88 1 1 0.91 1 1 1 1 0.89 1 1 0.45 0.42 0.5 1 0.76 1 0.94 1 1 0.92 0.42 1 0.91 0.64 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0.7 1 1 1 0.85 1 1 1 0.74 1 1 0.46 1 1 0.86 1 1 1 0.89 1 0.9 1 0.93 0.49 1 1 1 0.56 1 1 0.92 0.06 0.83 1 0.16 0.83 0.78 0.76 0.95 1 0.85 1 0.76 0.8 1 0.98 1 0.97 0.97 0.88 0.23 0.97 0.1 1 0.17 1 1 1 1 1 1 0.91 0.49 1 1 1 1 1 1 0.37 1 1 1 1 1 0.91 1 1 1 1 1 1 1 0.88 1 0.48 1 1 1 1 1 1 1 1 1 1 0.92 1 1 1 1 1 1 1 0.79 1 1 1 1 1 0.95 0.92 8 
8 0.68 0.74 0.68 0.67 1 0.99 0.88 1 0.72 1 0.88 1 1 1 0 1 0.78 0.96 0.96 1 1 1 0.22 0.95 1 0.96 0.77 0.96 0.43 1 0.93 0.79 1 0 0.41 0.44 1 1 1 1 1 0.91 1 0.93 1 0.87 0.88 1 0.89 1 1 1 1 1 1 0.95 1 1 1 0.89 0.89 0.9 0.13 0.84 0.8 1 0.43 0.89 0.05 0.6 1 1 1 1 0.57 1 0.87 0.93 0.87 1 1 1 1 0.63 0.9 0.93 0.91 0.67 0.1 1 0.91 1 1 1 1 1 0.95 1 1 1 0.12 0.74 0.94 0.86 1 0.76 1 1 1 1 0.93 0.91 0.36 1 0.42 1 1 0.87 0.52 0.87 1 1 0.2 0.18 0.17 1 1 0.13 1 1 1 1 1 1 1 1 0.93 0.12 1 1 1 1 1 1 1 1 1 1 1 1 0.86 1 1 1 1 0.73 1 1 1 1 1 0.48 1 0.98 1 1 1 1 1 1 1 1 0.65 1 1 1 1 1 1 1 0.93 0.9 1 0.33 1 0.13 0.89 0.75 0.95 1 1 1 0.14 1 1 1 0.92 0.96 1 0.63 0.63 0.65 0.65 0.65 1 1 1 1 1 0.69 0.69 0.69 1 0.9 1 1 0.06 1 1 0.84 0.85 0.84 0.86 1 1 1 1 0.81 0.85 0.81 0.86 0.79 1 0.92 1 1 0.88 1 1 1 1 1 1 1 1 1 1 1 1 8 
8 1 1 0.68 1 1 0.87 0.45 0.85 1 1 1 1 1 1 1 1 0.78 1 0.95 0.91 1 1 0.18 0.92 0.96 1 1 1 1 1 1 0.93 1 1 1 1 0.83 0.96 0.98 0.96 1 0.82 1 0.9 1 1 1 1 0.8 1 1 1 0.94 0.94 0.95 1 1 0.93 0.86 1 0.96 0.14 1 1 0.89 0.89 1 1 1 1 1 1 0.4 1 1 0.06 1 0.93 1 1 0.37 0.53 0.64 0.56 0.96 0.94 1 0.84 1 1 1 1 1 1 1 0.91 1 0.62 1 1 1 0.46 1 0.94 1 1 1 0.79 0.8 0.92 0.91 0.85 1 1 1 1 0.86 0.86 1 1 1 0.97 0.81 0.87 0.95 1 1 1 1 1 1 0.83 1 0.18 1 0.44 1 1 1 1 1 1 1 1 1 1 1 0.72 1 0.81 0.93 0.81 1 0.78 1 0.77 1 1 1 1 1 1 0.56 1 1 1 1 1 0.08 0.98 1 0.65 1 1 0.54 1 1 1 1 1 1 1 0.74 0.74 0.74 0.74 0.75 1 1 1 1 0.9 0.63 0.13 0.71 0.64 0.64 1 0.64 0.78 1 1 1 1 1 1 0.37 1 0.08 1 0.06 0.05 1 1 0 1 0.08 1 1 1 1 1 0.48 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0.9 1 1 1 1 0.78 1 1 8 
8 0.48 1 1 0.97 0.95 0.87 1 1 0.33 0.64 1 0.6 0.04 1 1 1 1 0.92 1 1 1 0.97 0.18 1 1 1 1 0.98 1 1 1 1 1 0.93 1 1 1 1 1 1 1 0.98 1 1 1 0.95 1 1 1 1 1 0.79 1 0.15 1 1 1 0.94 0.88 0.7 0.77 1 0.89 1 0.95 0.6 1 0.59 1 1 0.94 1 1 1 1 1 0.57 1 0.88 1 1 0.81 0.81 0.93 1 0.78 1 1 1 1 1 0.54 1 1 0.96 1 1 1 1 1 1 1 0.9 1 0.78 0.56 0.19 0.9 0.93 0.9 0.59 1 1 1 1 1 0.52 0.28 1 1 0.97 1 1 1 1 1 1 0.11 1 1 1 0.84 1 1 1 0.96 1 1 0.93 1 1 1 1 0.06 1 0.44 1 1 0.86 1 0.91 1 1 0.5 1 0.24 1 1 0.9 1 1 0.91 0.91 1 0.91 1 1 1 1 1 0.65 0.19 0.33 0.33 0.97 1 0.33 1 0.94 0.9 1 0.91 1 1 1 1 0.92 1 1 1 0.2 0.96 0.89 0.9 0.48 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0.71 1 1 1 1 1 1 0.09 1 1 1 1 1 0.87 1 1 1 1 1 1 1 1 1 1 1 1 1 0.91 1 1 1 0.64 1 1 1 1 1 0.78 1 0.91 8 
8 0.88 1 0.87 1 0.97 0.56 0.56 1 1 1 1 0.6 1 0.87 0.97 0.97 0.2 0.92 0.8 0.96 1 0.08 0.29 1 1 1 1 1 0.94 0.09 1 1 1 0.93 1 0.86 0.03 1 0.96 0.95 1 1 1 1 0.94 0.75 0.88 1 1 0.69 0.51 0.31 1 1 1 1 0.98 0.97 0.51 0.79 0.92 0.55 1 1 0.74 0.7 0.53 0.53 0.94 0.94 1 0.73 0.92 0.88 0.88 1 1 0.54 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0.11 1 1 1 1 1 0.89 1 1 0.17 1 1 0.03 0.56 0.41 0.41 0.51 0.41 1 1 1 0.05 1 1 1 0.91 1 0.84 1 1 0.81 1 1 1 1 0.11 0.77 1 0.76 1 0.75 0.73 0.96 1 1 1 1 1 1 0.06 1 0.55 1 1 1 0.55 1 0.54 0.91 1 0.92 1 1 0.29 1 0.91 0.8 0.94 1 1 0.13 1 0.48 1 1 1 1 0.79 1 0.21 0.53 1 1 0.94 1 1 0.9 1 0.32 1 1 0.73 0.75 1 0.91 0.19 1 1 1 1 0.86 0.89 1 0.85 1 1 1 1 1 1 1 1 1 1 1 1 0.72 1 1 1 1 1 0.87 1 1 1 1 1 1 1 0.35 0.86 0.86 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0.9 1 0.78 1 1 1 1 1 0.94 1 8 
8 0.86 1 1 1 1 1 0.38 0.64 1 1 1 1 0.89 1 0.9 1 0.9 0.94 0.9 0.94 0.98 1 0.84 0.7 1 1 0.76 0.94 0.95 1 1 0.07 1 1 0.09 0.94 1 0.91 1 0.93 1 0.92 1 1 1 0.26 1 1 0.81 1 1 0.31 1 1 0.18 1 1 0.92 1 0.35 0.93 0.96 0.77 0.46 0.94 0.84 1 0.9 0.93 1 0.87 0.94 0.94 0.86 0.94 0.94 1 1 0.8 1 0.89 1 0.88 1 0.89 0.89 0.9 1 1 1 1 1 0.8 0.12 0.63 1 1 1 1 1 1 1 1 1 1 1 0.89 0.87 1 0.51 1 1 0.88 0.89 1 1 1 0.36 1 1 1 1 0.28 1 0.95 1 1 1 1 1 1 1 1 0.83 1 1 1 0.89 1 1 1 1 1 1 0.84 1 1 1 0.8 1 1 1 1 1 0.55 1 0.52 0.04 0.81 0.54 1 0.54 1 1 1 1 1 1 1 1 1 0.53 1 1 0.94 0.04 0.64 1 1 1 1 1 0.53 0.73 1 0.69 1 1 1 1 1 0.7 1 0.96 0.89 1 0.07 1 1 1 1 1 1 1 1 1 1 1 0.37 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0.86 1 1 1 1 1 1 1 1 0.91 1 1 1 1 0.92 1 0.78 1 1 1 1 1 0.91 1 1 8 
